country,week,cases_w,deaths_w,deaths_w_back2w,dcfr
france,2020-01-26,3.0,0.0,0.0,0.0
france,2020-02-02,3.0,0.0,1.0,0.3333333333333333
france,2020-02-09,5.0,0.0,0.0,0.0
france,2020-02-16,1.0,1.0,1.0,1.0
france,2020-02-23,0.0,0.0,17.0,
france,2020-03-01,118.0,1.0,72.0,0.6101694915254238
france,2020-03-08,995.0,17.0,585.0,0.5879396984924623
france,2020-03-15,3407.0,72.0,1932.0,0.5670678015849722
france,2020-03-22,12229.0,585.0,5473.0,0.447542726306321
france,2020-03-29,23535.0,1932.0,6315.0,0.26832377310388783
france,2020-04-05,25005.0,5473.0,5298.0,0.21187762447510497
france,2020-04-12,64056.0,6315.0,3136.0,0.048957162482827526
france,2020-04-19,43163.0,5298.0,2068.0,0.04791140560202025
france,2020-04-26,12034.0,3136.0,1485.0,0.12340036563071298
france,2020-05-03,9715.0,2068.0,1730.0,0.17807514153371076
france,2020-05-10,7864.0,1485.0,556.0,0.07070193285859613
france,2020-05-17,3299.0,1730.0,433.0,0.13125189451348893
france,2020-05-24,2995.0,556.0,353.0,0.11786310517529215
france,2020-05-31,6716.0,433.0,253.0,0.03767123287671233
france,2020-06-07,6261.0,353.0,233.0,0.03721450247564287
france,2020-06-14,3504.0,253.0,137.0,0.039098173515981736
france,2020-06-21,3623.0,233.0,115.0,0.03174165056582942
france,2020-06-28,3074.0,137.0,117.0,0.03806115810019518
france,2020-07-05,3525.0,115.0,146.0,0.04141843971631206
france,2020-07-12,3720.0,117.0,51.0,0.013709677419354839
france,2020-07-19,3776.0,146.0,72.0,0.019067796610169493
france,2020-07-26,5842.0,51.0,61.0,0.010441629578911331
france,2020-08-02,7284.0,72.0,86.0,0.011806699615595826
france,2020-08-09,10104.0,61.0,103.0,0.010193982581155978
france,2020-08-16,20586.0,86.0,97.0,0.0047119401535023805
france,2020-08-23,24504.0,103.0,117.0,0.004774730656219393
france,2020-08-30,35549.0,97.0,217.0,0.006104250471180624
france,2020-09-06,46896.0,117.0,369.0,0.00786847492323439
france,2020-09-13,56576.0,217.0,443.0,0.007830175339366516
france,2020-09-20,71981.0,369.0,487.0,0.006765674275155944
france,2020-09-27,85723.0,443.0,502.0,0.005856071299417892
france,2020-10-04,81149.0,487.0,753.0,0.009279227100765258
france,2020-10-11,117006.0,502.0,1187.0,0.010144778900227339
france,2020-10-18,163170.0,753.0,2409.0,0.014763743335171907
france,2020-10-25,197619.0,1187.0,3466.0,0.017538799406939615
france,2020-11-01,322408.0,2409.0,4123.0,0.012788144214783753
france,2020-11-08,422681.0,3466.0,4192.0,0.009917644748640228
france,2020-11-15,196285.0,4123.0,3605.0,0.01836615125964796
france,2020-11-22,159350.0,4192.0,2836.0,0.017797301537496077
france,2020-11-29,79753.0,3605.0,2768.0,0.03470715835140998
france,2020-12-06,75107.0,2836.0,2650.0,0.035282996258670964
france,2020-12-13,84971.0,2768.0,2202.0,0.02591472384695955
france,2020-12-20,97196.0,2650.0,2297.0,0.02363265978023787
france,2020-12-27,86747.0,2202.0,2721.0,0.03136707897679459
france,2021-01-03,96431.0,2297.0,2537.0,0.02630896703342286
france,2021-01-10,127851.0,2721.0,2768.0,0.021650202188485033
france,2021-01-17,128208.0,2537.0,3011.0,0.02348527392986397
france,2021-01-24,143142.0,2768.0,2910.0,0.02032946305067695
france,2021-01-31,143818.0,3011.0,2851.0,0.019823666022333784
france,2021-02-07,140061.0,2910.0,2468.0,0.017620893753436003
france,2021-02-14,128463.0,2851.0,2150.0,0.01673633653269813
france,2021-02-21,140104.0,2468.0,2147.0,0.015324330497344829
france,2021-02-28,151066.0,2150.0,1857.0,0.012292640302913958
france,2021-03-07,148433.0,2147.0,1850.0,0.012463535736662333
france,2021-03-14,167774.0,1857.0,2321.0,0.013834086330420685
france,2021-03-21,211220.0,1850.0,2055.0,0.009729192311334154
france,2021-03-28,263192.0,2321.0,2101.0,0.007982765433599805
france,2021-04-04,277039.0,2055.0,1983.0,0.007157836983240627
france,2021-04-11,236279.0,2101.0,2125.0,0.008993605017796757
france,2021-04-18,230933.0,1983.0,1964.0,0.008504631213382236
france,2021-04-25,208598.0,2125.0,1573.0,0.007540820142091487
france,2021-05-02,154264.0,1964.0,1224.0,0.007934450033708448
france,2021-05-09,124907.0,1573.0,981.0,0.007853843259384983
france,2021-05-16,100803.0,1224.0,807.0,0.00800571411565132
france,2021-05-23,74811.0,981.0,603.0,0.008060311986205238
france,2021-05-30,63438.0,807.0,396.0,0.006242315331504776
france,2021-06-06,45928.0,603.0,348.0,0.007577077164257098
france,2021-06-13,28071.0,396.0,231.0,0.008229133269210216
france,2021-06-20,16775.0,348.0,195.0,0.011624441132637855
france,2021-06-27,12797.0,231.0,167.0,0.013049933578182387
france,2021-07-04,16255.0,195.0,147.0,0.009043371270378344
france,2021-07-11,26509.0,167.0,152.0,0.005733901693764382
france,2021-07-18,55206.0,147.0,273.0,0.004945114661449842
france,2021-07-25,126475.0,152.0,348.0,0.002751531923305001
france,2021-08-01,153780.0,273.0,498.0,0.003238392508778775
france,2021-08-08,161128.0,348.0,850.0,0.005275309071049104
france,2021-08-15,172018.0,498.0,852.0,0.004952970038019277
france,2021-08-22,156897.0,850.0,774.0,0.004933172718407618
france,2021-08-29,126932.0,852.0,723.0,0.005695963192890682
france,2021-09-05,93965.0,774.0,572.0,0.006087372958016282
france,2021-09-12,69387.0,723.0,486.0,0.007004193869168576
france,2021-09-19,53213.0,572.0,413.0,0.0077612613459117135
france,2021-09-26,41732.0,486.0,332.0,0.007955525735646507
france,2021-10-03,34607.0,413.0,256.0,0.007397347357471032
france,2021-10-10,35852.0,332.0,222.0,0.00619212317304474
france,2021-10-17,33500.0,256.0,220.0,0.006567164179104477
france,2021-10-24,37408.0,222.0,241.0,0.0064424721984602225
france,2021-10-31,41553.0,220.0,236.0,0.0056794936587009365
france,2021-11-07,50999.0,241.0,322.0,0.006313849291162572
france,2021-11-14,70463.0,236.0,447.0,0.006343754878446845
france,2021-11-21,127680.0,322.0,645.0,0.005051691729323308
france,2021-11-28,205135.0,447.0,900.0,0.004387354668876593
france,2021-12-05,298174.0,645.0,1062.0,0.003561678751333114
france,2021-12-12,341865.0,900.0,1149.0,0.0033609758237900926
france,2021-12-19,367297.0,1062.0,1303.0,0.0035475378236141325
france,2021-12-26,490400.0,1149.0,1497.0,0.003052610114192496
france,2022-01-02,1134801.0,1303.0,1513.0,0.001333273410932842
france,2022-01-09,1862681.0,1497.0,1680.0,0.0009019257725826377
